Entity,Code,Year,Other renewables including bioenergy (TWh),Electricity from solar (TWh),Electricity from wind (TWh),Electricity from hydro (TWh),Electricity from nuclear (TWh),Electricity from oil (TWh),Electricity from gas (TWh),Electricity from coal (TWh)
Ethiopia,ETH,2020,0.0299999993294477,0.0199999995529651,0.5299999713897705,13.5600004196167,0.0,0.0099999997764825,0.0,0.0
Europe,,2020,219.3716278076172,166.73370361328125,489.2264404296875,792.6599731445312,1049.475341796875,56.71451568603516,1159.3306884765625,639.7205200195312
Europe (BP),,2020,234.35455322265625,175.65176391601562,512.7316284179688,657.916015625,833.2230834960938,48.8584213256836,765.3558959960938,569.7333984375
European Union (27),,2020,170.01918029785156,143.2808380126953,397.3034057617188,343.23846435546875,683.7521362304688,45.49991607666016,561.3604736328125,369.1111755371094
Faeroe Islands,FRO,2020,0.0,0.0,0.0599999986588954,0.1099999994039535,0.0,0.25,0.0,0.0
Falkland Islands,FLK,2020,0.0,0.0,0.0099999997764825,0.0,0.0,0.0099999997764825,0.0,0.0
Fiji,FJI,2020,0.1099999994039535,0.0199999995529651,0.0,0.5,0.0,0.3600000143051147,0.0,0.0
Finland,FIN,2020,11.497894287109377,0.2212121188640594,8.018181800842285,15.827272415161133,23.530527114868164,3.1700000762939453,3.9700000286102295,2.720000028610229
France,FRA,2020,10.668055534362791,12.925406455993652,39.74982833862305,61.17179107666016,353.8328552246094,10.4399995803833,35.970001220703125,3.4200000762939453
French Guiana,GUF,2020,0.0099999997764825,0.050000000745058,0.0,0.4399999976158142,0.0,0.4699999988079071,0.0,0.0
French Polynesia,PYF,2020,0.0,0.0399999991059303,0.0,0.1800000071525573,0.0,0.4399999976158142,0.0,0.0
G20 (Ember),,2020,609.5599975585938,773.4000244140625,1522.1400146484375,3369.030029296875,2485.300048828125,411.1300048828125,4298.39990234375,8474.7001953125
G7 (Ember),,2020,239.8999938964844,313.94000244140625,647.1699829101562,886.739990234375,1394.5799560546875,128.77999877929688,2391.469970703125,1236.8499755859375
Gabon,GAB,2020,0.0199999995529651,0.0,0.0,1.7400000095367432,0.0,1.190000057220459,0.0,0.0
Gambia,GMB,2020,0.0,0.0,0.0,0.0,0.0,0.2899999916553497,0.0,0.0
Georgia,GEO,2020,0.0,0.0,0.0900000035762786,8.25,0.0,0.0,2.819999933242798,0.0
Germany,DEU,2020,51.09199905395508,48.64099884033203,132.1020050048828,18.32200050354004,64.38240051269531,4.71114444732666,94.9969711303711,134.5867919921875
Ghana,GHA,2020,0.0299999993294477,0.0599999986588954,0.0,7.210000038146973,0.0,3.289999961853028,9.520000457763672,0.0
Gibraltar,GIB,2020,,0.0,0.0,0.0,0.0,,,
Greece,GRC,2020,0.4535540044307709,4.446854114532471,9.310104370117188,3.3022799491882324,0.0,5.860000133514404,16.09000015258789,7.289999961853027
Greenland,GRL,2020,0.0,0.0,0.0,0.5,0.0,0.0900000035762786,0.0,0.0
Grenada,GRD,2020,0.0,0.0,0.0,0.0,0.0,0.2000000029802322,0.0,0.0
Guadeloupe,GLP,2020,0.3600000143051147,0.1000000014901161,0.050000000745058,0.0299999993294477,0.0,0.0,0.0,1.0399999618530271
Guam,GUM,2020,0.0,0.0700000002980232,0.0,0.0,0.0,1.6299999952316284,0.0,0.0
Guatemala,GTM,2020,3.490000009536743,0.2199999988079071,0.3100000023841858,5.769999980926514,0.0,2.309999942779541,0.0,3.0799999237060547
Guinea,GIN,2020,0.0,0.0199999995529651,0.0,2.470000028610229,0.0,0.7099999785423279,0.0,0.0
Guinea-Bissau,GNB,2020,0.0,0.0,0.0,0.0,0.0,0.0799999982118606,0.0,0.0
Guyana,GUY,2020,0.1299999952316284,0.0199999995529651,0.0,0.0,0.0,0.949999988079071,0.0,0.0
Haiti,HTI,2020,0.0,0.0,0.0,0.1299999952316284,0.0,0.8100000023841858,0.0,0.0
High-income countries,,2020,366.5997009277344,433.697265625,895.2072143554688,1337.114501953125,1894.139892578125,235.49778747558597,3325.973388671875,1937.8636474609373
Honduras,HND,2020,1.2899999618530271,1.1200000047683716,0.8199999928474426,2.700000047683716,0.0,4.53000020980835,0.0,0.4699999988079071
Hong Kong,HKG,2020,0.0743049979209899,0.0078830001875758,0.0007999999797903,0.0,0.0,0.0,13.529999732971191,19.56999969482422
Hungary,HUN,2020,2.1710000038146973,2.4590001106262207,0.6549999713897705,0.2440000027418136,16.05500030517578,0.3100000023841858,9.029999732971191,3.759999990463257
Iceland,ISL,2020,5.960602283477783,0.0,0.0066602998413145,13.15697193145752,0.0,0.0,0.0,0.0
India,IND,2020,32.93788146972656,58.68346786499024,60.42740249633789,163.71275329589844,44.61314010620117,2.109800100326538,74.46221923828125,1125.7740478515625
Indonesia,IDN,2020,27.930500030517575,0.1709699928760528,0.4749999940395355,24.325000762939453,0.0,6.763999938964844,51.2760009765625,180.86900329589844
Iran,IRN,2020,0.0107152769342064,0.6360219717025757,1.1260000467300415,23.20499992370605,6.330295085906982,37.01906204223633,268.2344055175781,0.6575070023536682
Iraq,IRQ,2020,0.0,0.377576619386673,0.0,3.082070827484131,0.0,15.109999656677246,68.73999786376953,0.0
Ireland,IRL,2020,0.9373760223388672,0.0637800022959709,11.549420356750488,0.9334006905555724,0.0,1.690000057220459,15.670000076293944,0.6700000166893005
Israel,ISR,2020,0.2036000043153762,4.163000106811523,0.0,0.0,0.0,0.0,44.36000061035156,19.739999771118164
Italy,ITA,2020,25.654733657836918,24.551000595092773,18.608200073242188,45.72862243652344,0.0,11.439900398254396,133.68280029296875,15.07610034942627
Jamaica,JAM,2020,0.1099999994039535,0.050000000745058,0.270000010728836,0.1599999964237213,0.0,2.0299999713897705,1.399999976158142,0.0
Japan,JPN,2020,34.801448822021484,75.13509368896484,7.819281101226807,77.41411590576172,42.999507904052734,36.67034149169922,353.5589904785156,297.95867919921875
Jordan,JOR,2020,0.050000000745058,2.200000047683716,0.8799999952316284,0.0299999993294477,0.0,1.5700000524520874,14.149999618530272,0.0
Kazakhstan,KAZ,2020,0.0065267998725175,1.2374697923660278,1.0286613702774048,9.659646034240724,0.0,0.0725154504179954,27.256807327270508,69.36678314208984
Kenya,KEN,2020,5.099999904632568,0.1099999994039535,1.159999966621399,3.5199999809265137,0.0,0.9100000262260436,0.0,0.0
Kiribati,KIR,2020,0.0,0.0,0.0,0.0,0.0,0.0299999993294477,0.0,0.0
Kosovo,OWID_KOS,2020,0.0,0.0099999997764825,0.0900000035762786,0.2599999904632568,0.0,0.0099999997764825,0.0,6.329999923706055
Kuwait,KWT,2020,0.0,0.0586983785033226,0.003651977982372,0.0,0.0,0.0,66.88999938964844,0.0
